borough,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,"TYPE(1:res,2:com,3:mix)",grid_x,grid_y
1,743,1397,4136,1900,3500000,3,436,571
1,743,1397,4560,1900,3050000,3,436,571
1,744,1554,4218,1920,3350000,3,437,571
1,744,4600,12200,1850,282000,3,437,571
1,744,1554,4218,1920,3350000,3,437,571
1,744,4600,12200,1850,282000,3,437,571
1,745,2469,9690,1900,2380000,3,438,572
1,745,1975,4540,1900,5375000,3,438,572
1,745,2469,9690,1900,2380000,3,438,572
1,745,1975,4540,1900,5375000,3,438,572
1,746,2222,4268,1901,7250000,3,439,574
1,746,2156,5698,1900,6125000,3,439,574
1,746,2222,4268,1901,7250000,3,439,574
1,746,2156,5698,1900,6125000,3,439,574
1,753,2173,6050,1900,7600000,3,444,584
1,753,2172,5036,1900,6000000,3,444,584
1,753,2173,4450,1900,3600000,3,444,584
1,753,2189,7260,1900,6500000,3,444,584
1,753,2173,6050,1900,7600000,3,444,584
1,753,2172,5036,1900,6000000,3,444,584
1,753,2173,4450,1900,3600000,3,444,584
1,753,2189,7260,1900,6500000,3,444,584
1,759,2468,9220,1920,28000000,3,450,592
1,759,7406,73106,1927,50000000,3,450,592
1,759,2468,9220,1920,28000000,3,450,592
1,759,7406,73106,1927,50000000,3,450,592
1,760,9973,119685,2012,167100000,3,449,594
1,760,9973,119685,2012,167100000,3,449,594
1,762,2469,6750,1901,16000000,3,450,597
1,762,2469,6750,1901,16000000,3,450,597
1,763,7406,177000,2010,128177800,3,453,597
1,763,3757,74128,2006,112861038,3,453,597
1,763,4007,85706,2006,99275913,3,453,597
1,763,3497,71706,2006,90915836,3,453,597
1,763,7406,177000,2010,128177800,3,453,597
1,763,3757,74128,2006,112861038,3,453,597
1,763,4007,85706,2006,99275913,3,453,597
1,763,3497,71706,2006,90915836,3,453,597
1,766,3180,7164,1910,29000000,3,441,563
1,766,3180,7164,1910,29000000,3,441,563
1,767,1750,3640,1920,7000000,3,441,565
1,767,1750,3640,1920,7000000,3,441,565
1,769,1840,7360,1901,10500000,3,440,567
1,769,2500,4447,1910,8250000,3,440,567
1,769,1840,7360,1901,10500000,3,440,567
1,769,2500,4447,1910,8250000,3,440,567
1,770,2029,8540,1920,29400000,3,445,567
1,770,2050,8525,2004,11575000,3,445,567
1,770,2029,8540,1920,29400000,3,445,567
1,770,2050,8525,2004,11575000,3,445,567
1,771,1975,3540,1901,7425000,3,445,569
1,771,2469,9880,1901,3325000,3,445,569
1,771,1975,3540,1901,7425000,3,445,569
1,771,2469,9880,1901,3325000,3,445,569
1,772,822,2548,1901,4250000,3,446,569
1,772,17281,170750,1900,92007576,3,446,569
1,772,822,2548,1901,4250000,3,446,569
1,772,17281,170750,1900,92007576,3,446,569
1,775,2345,7035,1920,2450000,3,446,576
1,775,2345,7035,1920,2450000,3,446,576
1,776,2456,14952,1927,6884000,3,447,577
1,776,2456,14952,1927,6884000,3,447,577
1,776,2456,14952,1927,6884000,3,447,577
1,776,2456,14952,1927,6884000,3,447,577
1,778,4442,8518,1920,30000000,3,447,580
1,778,2279,4554,1930,16540319,3,447,580
1,778,2279,4554,1930,13600000,3,447,580
1,778,4442,8518,1920,30000000,3,447,580
1,778,2279,4554,1930,16540319,3,447,580
1,778,2279,4554,1930,13600000,3,447,580
1,780,7406,104199,1927,50450000,3,449,583
1,780,7406,104199,1927,50450000,3,449,583
1,784,9875,145372,1924,108000000,3,456,587
1,784,1178,3398,1928,20000000,3,456,587
1,784,9875,145372,1924,108000000,3,456,587
1,784,1178,3398,1928,20000000,3,456,587
1,785,2500,7500,1931,25000000,3,453,590
1,785,2500,7500,1931,25000000,3,453,590
1,790,2000,4100,1910,3485000,3,442,558
1,790,1586,4271,1920,9500000,3,442,558
1,790,2000,4100,1910,3485000,3,442,558
1,790,1586,4271,1920,9500000,3,442,558
1,793,2300,4658,1920,6650000,3,447,560
1,793,2300,4658,1920,6650000,3,447,560
1,794,10053,6989,2014,2341975,3,447,563
1,794,10053,6989,2014,2341975,3,447,563
1,795,1878,11250,1910,10500000,3,448,564
1,795,1878,11250,1910,10500000,3,448,564
1,799,19675,209974,1987,211250000,3,452,569
1,799,2452,7600,1925,13325000,3,452,569
1,799,4938,53696,2001,81320748,3,452,569
1,799,12343,21183,1920,50350000,3,452,569
1,799,19675,209974,1987,211250000,3,452,569
1,799,2452,7600,1925,13325000,3,452,569
1,799,4938,53696,2001,81320748,3,452,569
1,799,12343,21183,1920,50350000,3,452,569
1,801,9875,113062,1906,150000000,3,453,572
1,801,9826,122236,2010,139725000,3,453,572
1,801,9875,113062,1906,150000000,3,453,572
1,801,9826,122236,2010,139725000,3,453,572
1,804,2562,8040,1928,17200000,3,453,577
1,804,4938,71500,2006,53764000,3,453,577
1,804,2562,8040,1928,17200000,3,453,577
1,804,4938,71500,2006,53764000,3,453,577
1,805,6994,79465,1913,220000,3,454,579
1,805,6994,79465,1913,220000,3,454,579
1,806,19011,473391,1929,212500000,3,456,579
1,806,4379,49286,2003,73910680,3,456,579
1,806,19011,473391,1929,212500000,3,456,579
1,806,4379,49286,2003,73910680,3,456,579
1,812,2962,15435,1920,21950000,3,459,589
1,812,2962,15435,1920,21950000,3,459,589
1,816,2582,4943,1947,10250000,3,448,555
1,816,2582,4943,1947,10250000,3,448,555
1,819,14479,179186,1906,413100,3,452,558
1,819,14479,179186,1906,765000,3,452,558
1,819,14479,179186,1906,413100,3,452,558
1,819,14479,179186,1906,765000,3,452,558
1,820,2300,5050,1915,9500000,3,453,560
1,820,2300,5050,1915,9500000,3,453,560
1,822,1392,4915,1910,6625000,3,454,562
1,822,1392,4915,1910,6625000,3,454,562
1,825,7357,46900,1920,65000000,3,455,567
1,825,7357,46900,1920,65000000,3,455,567
1,826,4987,51659,1910,143000000,3,456,568
1,826,4115,44876,2006,60000000,3,456,568
1,826,4987,51659,1910,143000000,3,456,568
1,826,4115,44876,2006,60000000,3,456,568
1,828,2489,14964,1915,11250000,3,457,571
1,828,2489,14964,1915,11250000,3,457,571
1,830,5077,59870,1900,59000000,3,458,574
1,830,5077,59870,1900,59000000,3,458,574
1,833,30750,645977,1969,565000000,3,461,578
1,833,2480,11357,1910,19287375,3,461,578
